,margin,train-test acc,weight_decay
0,0.0040658093057572,0.04180002212524414,0.052
1,0.0040615410543978,-0.008920013904571533,0.054
2,0.0040675047785043,-0.0019199848175048828,0.056
3,0.0040649394504725,0.00016003847122192383,0.058
4,0.0040675941854715,0.010120034217834473,0.06
5,0.004067609552294,0.017199993133544922,0.062
6,0.0040700598619878,0.007160007953643799,0.064
7,0.0040678456425666,0.025520026683807373,0.066
8,0.0040689255110919,0.028800010681152344,0.068
9,0.004067710135132,-0.006680011749267578,0.07
10,0.0040711904875934,0.0025600194931030273,0.072
11,0.0040716463699936,0.004360020160675049,0.074
12,0.0040687499567866,-0.0023199915885925293,0.076
13,0.0040698111988604,-0.007359981536865234,0.078
14,0.0040719946846365,-0.002160012722015381,0.08
15,0.0040744431316852,0.000800013542175293,0.082
16,0.0040721800178289,0.10507994890213013,0.084
17,0.0040708030574023,0.0008800029754638672,0.086
18,0.0040746871381998,-0.005280017852783203,0.088
19,0.0040739751420915,-0.003000020980834961,0.09
20,0.0040738047100603,0.007520020008087158,0.092
21,0.0040752165950834,0.029919981956481934,0.094
22,0.0040741679258644,0.020319998264312744,0.096
23,0.0040749507024884,-0.008839964866638184,0.098
24,0.004074000287801,-0.007319986820220947,0.1
25,0.0040762810967862,-0.009479999542236328,0.102
26,0.0040738889947533,-0.0048400163650512695,0.104
27,0.0040745842270553,0.005720019340515137,0.106
28,0.0040767099708318,8.004903793334961e-05,0.108
29,0.0040763095021247,-0.006280004978179932,0.11
30,0.0040743867866694,-0.004079997539520264,0.112
31,0.0040746643207967,-0.01771998405456543,0.114
32,0.0040757833048701,-0.01007997989654541,0.116
33,0.004077220801264,0.019840002059936523,0.118
34,0.004075979348272,0.009159982204437256,0.12
35,0.0040769781917333,-0.008319973945617676,0.122
36,0.0040762219578027,-0.008599996566772461,0.124
37,0.0040767304599285,0.01792001724243164,0.126
38,0.0040778643451631,-0.007439970970153809,0.128
39,0.0040770252235233,0.0037599802017211914,0.13
40,0.0040771435014903,0.0461999773979187,0.132
41,0.0040763961151242,-0.003560006618499756,0.134
42,0.0040772762149572,0.049520015716552734,0.136
43,0.0040780063718557,0.006879985332489014,0.138
44,0.0040789949707686,-0.010720014572143555,0.14
45,0.0040776440873742,-0.014519989490509033,0.142
46,0.0040765828453004,0.06632000207901001,0.144
47,0.0040772780776023,-0.008880019187927246,0.146
48,0.0040786508470773,0.013679981231689453,0.148
49,0.0040779667906463,0.07604002952575684,0.15
50,0.0040784659795463,0.028079986572265625,0.152
51,0.0040778024122118,0.023359954357147217,0.154
52,0.0040782033465802,-0.009559988975524902,0.156
53,0.0040775672532618,-0.019999980926513672,0.158
54,0.0040771602652966,0.06643998622894287,0.16
55,0.0040779174305498,-0.006879985332489014,0.162
56,0.0040785479359328,-0.01371997594833374,0.164
57,0.0040779863484203,0.02156001329421997,0.166
58,0.0040790452621877,-0.012679994106292725,0.168
59,0.0040783272124826,-0.011680006980895996,0.17
60,0.0040789726190268,0.015080034732818604,0.172
61,0.0040799127891659,0.04968005418777466,0.174
62,0.004079267848283,0.008159995079040527,0.176
63,0.0040787467733025,0.019479990005493164,0.178
64,0.0040784529410302,0.0043599605560302734,0.18
65,0.0040793246589601,-0.013000011444091797,0.182
66,0.0040790061466395,-0.012520015239715576,0.184
67,0.0040785954333841,-0.0031999945640563965,0.186
68,0.0040790801867842,0.013240039348602295,0.188
69,0.0040787612088024,0.007120013236999512,0.19
70,0.0040801614522933,0.0027199983596801758,0.192
71,0.0040790955536067,-0.01464003324508667,0.194
72,0.0040787495672702,0.04295998811721802,0.196
73,0.0040801526047289,-0.013080000877380371,0.198
74,0.0040786587633192,-0.015039980411529541,0.2
